mean_value,best,tpgr,measure,collection,user_model,encoder,model
0.752020417630765,0,1,nDCG@10,trec-dl-2019,nearrandom,contriever,ClickLogsWeightedMean
0.668261821569754,0,0,nDCG@10,trec-dl-2019,nearrandom,contriever,ClickLogsMean
0.631614263410225,0,0,nDCG@10,trec-dl-2019,nearrandom,contriever,corocchio
0.636467511472961,0,0,nDCG@10,trec-dl-2019,nearrandom,contriever,vprf20
0.730326342014819,0,0,nDCG@10,trec-dl-2019,nearrandom,contriever,ClickLogsWeightedMax
0.674441871824657,0,0,nDCG@10,trec-dl-2019,nearrandom,contriever,nodime
0.742262185939344,0,0,nDCG@10,trec-dl-2019,nearrandom,dragon,ClickLogsWeightedMax
0.762132376710687,0,0,nDCG@10,trec-dl-2019,nearrandom,dragon,ClickLogsWeightedMean
0.767144186861204,0,0,nDCG@10,trec-dl-2019,nearrandom,dragon,LLM
0.841945714587714,1,1,nDCG@10,trec-dl-2019,nearrandom,dragon,ClickLogsLinearModel
0.724245102899449,0,0,nDCG@10,trec-dl-2019,nearrandom,dragon,corocchio
0.83131411029963,0,1,nDCG@10,trec-dl-2019,nearrandom,dragon,ClickLogsCorrelation
0.751515992938473,0,0,nDCG@10,trec-dl-2019,nearrandom,dragon,vprf5
0.73214903072557,0,0,nDCG@10,trec-dl-2019,nearrandom,dragon,vprf20
0.739765689904773,0,0,nDCG@10,trec-dl-2019,nearrandom,dragon,ClickLogsMean
0.739765689904773,0,0,nDCG@10,trec-dl-2019,nearrandom,dragon,nodime
0.804455010516214,0,1,nDCG@10,trec-dl-2019,nearrandom,tasb,ClickLogsCorrelation
0.820832223681443,1,1,nDCG@10,trec-dl-2019,nearrandom,tasb,ClickLogsLinearModel
0.7174618871471,0,0,nDCG@10,trec-dl-2019,nearrandom,tasb,nodime
0.7174618871471,0,0,nDCG@10,trec-dl-2019,nearrandom,tasb,ClickLogsMean
0.774455182004368,0,1,nDCG@10,trec-dl-2019,nearrandom,tasb,ClickLogsWeightedMax
0.747201560484736,0,0,nDCG@10,trec-dl-2019,nearrandom,tasb,ClickLogsWeightedMean
0.667127401291409,0,0,nDCG@10,trec-dl-2019,nearrandom,tasb,vprf20
0.664810741680938,0,0,nDCG@10,trec-dl-2019,nearrandom,tasb,corocchio
0.720981763587959,0,0,nDCG@10,trec-dl-2019,nearrandom,tasb,vprf5
0.749345669635241,0,0,nDCG@10,trec-dl-2019,nearrandom,tasb,LLM
0.850811848339446,0,1,nDCG@10,trec-dl-2019,perfect,contriever,ClickLogsCorrelation
